,flat_type,location,agent,price,area
37,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
38,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
39,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
40,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
41,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
42,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
43,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
44,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
45,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
46,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
47,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
48,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
49,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
