,flat_type,location,agent,price,area
31,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Dwarka Sector 7, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
32,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Karampura, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
33,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","New Friends Colony, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
34,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
35,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
36,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
37,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Okhla Phase 1, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
38,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Delhi Cantonment, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
39,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Gurgaon Faridabad Road, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
40,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","GH 13 Paschim Vihar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
41,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Dwarka Sector 7, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
42,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Karampura, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
43,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","New Friends Colony, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
44,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
45,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
46,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
47,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Okhla Phase 1, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
48,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Delhi Cantonment, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
49,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Gurgaon Faridabad Road, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
