,flat_type,location,agent,price,area
0,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","GH 13 Paschim Vihar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
1,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Dwarka Sector 7, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
2,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Karampura, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
3,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","New Friends Colony, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
4,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
5,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
6,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
7,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Okhla Phase 1, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
8,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Delhi Cantonment, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
9,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Gurgaon Faridabad Road, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
10,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","GH 13 Paschim Vihar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
11,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Dwarka Sector 7, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
12,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Karampura, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
13,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","New Friends Colony, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
14,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
15,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
16,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
17,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Okhla Phase 1, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
18,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Delhi Cantonment, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
19,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Gurgaon Faridabad Road, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
20,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","GH 13 Paschim Vihar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
21,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Dwarka Sector 7, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
22,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Karampura, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
23,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","New Friends Colony, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
24,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
25,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
26,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Moti Nagar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
27,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Okhla Phase 1, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
28,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Delhi Cantonment, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
29,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","Gurgaon Faridabad Road, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
30,"3 BHK Apartment / Flat for Sale  Gurgaon Faridabad Road, New Delhi","GH 13 Paschim Vihar, New Delhi",Harsh Khatter (Agent),85Lac,Area1500 Sq Ft.
